no,id,title,type,platform,friend_id,country,region,sent_date,received_date,tags,url,friend_url
,US-7394504,,MATCH,POSTCROSSING,e7loveday,U.S.A.,,7/Mar/2021,29/Mar/2021,,https://www.postcrossing.com/postcards/US-7394504,https://www.postcrossing.com/user/e7loveday
,CNGD41982,听海,活动,icardyou,纪云,China,广东,3/18/2021 16:01,3/29/2021 17:39,盒片,https://icardyou.icu/sendpostcard/postcardDetail/1129270,https://icardyou.icu/userInfo/homePage?userId=24415
,CNSD10033,You make my life colorful,活动,icardyou,金大嗓,China,山东,3/25/2021 13:16,4/1/2021 9:25,信的恋人,https://icardyou.icu/sendpostcard/postcardDetail/1130947,https://icardyou.icu/userInfo/homePage?userId=38852
,CNSD10055,来自美食国度的问候,活动,icardyou,金大嗓,China,山东,3/25/2021 13:17,4/1/2021 9:35,一幕制品,https://icardyou.icu/sendpostcard/postcardDetail/1131246,https://icardyou.icu/userInfo/homePage?userId=38852
,CNTM43305,法国普罗旺斯,活动,icardyou,小颜今天开心吗？,China,浙江,3/28/2021 10:25,4/1/2021 9:41,法国,https://icardyou.icu/sendpostcard/postcardDetail/1131287,https://icardyou.icu/userInfo/homePage?userId=38592
,CNHE3979,节气春之春分,活动,icardyou,如果时光可以倒流,China,河北,3/22/2021 21:33,4/3/2021 7:40,节气,https://icardyou.icu/sendpostcard/postcardDetail/1130655,https://icardyou.icu/userInfo/homePage?userId=31742
,CNTM43313,厦门风光·鼓浪屿,活动,icardyou,yxy,China,贵州,3/27/2021 21:26,4/6/2021 20:12,厦门 鼓浪屿 景点,https://icardyou.icu/sendpostcard/postcardDetail/1131349,https://icardyou.icu/userInfo/homePage?userId=37529
,PL-1748123,,MATCH,POSTCROSSING,edi777,Poland,,7/Mar/2021,8/Apr/2021,,https://www.postcrossing.com/postcards/PL-1748123,https://www.postcrossing.com/user/edi777
,RU-8367863,,MATCH,POSTCROSSING,ElenaVasilevna,Russia,,8/Mar/2021,8/Apr/2021,,https://www.postcrossing.com/postcards/RU-8367863,https://www.postcrossing.com/user/ElenaVasilevna
,DE-10228340,,MATCH,POSTCROSSING,Carina15699,Germany,,6/Mar/2021,8/Apr/2021,,https://www.postcrossing.com/postcards/DE-10228340,https://www.postcrossing.com/user/Carina15699
